,state,handgun,long_gun,multiple,month
0,Alabama,11031.900000000001,28608.800000000003,882,12
1,Alaska,2190.1000000000004,3166.9,162,12
2,Arizona,9188.300000000001,12136.300000000001,690,12
3,Arkansas,4814.700000000001,17008.2,460,12
4,California,17902.5,22993.300000000003,15684,12
5,Colorado,8417.2,15826.800000000001,1224,12
6,Connecticut,2952.4,3358.3,134,12
7,Delaware,744.7,1872.2,56,12
8,District of Columbia,7.700000000000001,1.1,0,12
9,Florida,23442.100000000002,30740.600000000002,1556,12
10,Georgia,10414.800000000001,28251.300000000003,950,12
11,Guam,17.6,31.900000000000002,0,12
12,Hawaii,0.0,0.0,0,12
13,Idaho,2260.5,7328.200000000001,230,12
14,Illinois,6584.6,13506.900000000001,682,12
15,Indiana,7851.8,17760.600000000002,490,12
16,Iowa,37.400000000000006,8460.1,4,12
17,Kansas,4698.1,11441.1,488,12
18,Kentucky,10270.7,22363.0,1086,12
19,Louisiana,8625.1,23529.000000000004,622,12
20,Maine,1536.7,4229.5,204,12
21,Mariana Islands,0.0,12.100000000000001,0,12
22,Maryland,1450.9,7883.700000000001,14,12
23,Massachusetts,2171.4,2072.4,144,12
24,Michigan,2706.0,23370.600000000002,122,12
25,Minnesota,4670.6,14914.900000000001,324,12
26,Mississippi,5748.6,22522.5,560,12
27,Missouri,5805.8,24390.300000000003,380,12
28,Montana,2140.6000000000004,6172.1,302,12
29,Nebraska,1.1,5666.1,0,12
30,Nevada,3207.6000000000004,4448.400000000001,350,12
31,New Hampshire,1973.4,3303.3,36,12
32,New Jersey,1503.7,2910.6000000000004,96,12
33,New Mexico,3512.3,6749.6,326,12
34,New York,3589.3,19378.7,100,12
35,North Carolina,326.70000000000005,29740.7,218,12
36,North Dakota,682.0,3262.6000000000004,32,12
37,Ohio,15004.000000000002,27618.800000000003,1102,12
38,Oklahoma,7704.400000000001,17169.9,928,12
39,Oregon,6503.200000000001,15067.800000000001,560,12
40,Pennsylvania,0.0,65135.40000000001,360,12
41,Puerto Rico,623.7,116.60000000000001,18,12
42,Rhode Island,435.6,609.4000000000001,208,12
43,South Carolina,5674.900000000001,13957.900000000001,390,12
44,South Dakota,1072.5,5189.8,128,12
45,Tennessee,13275.900000000001,24995.300000000003,1054,12
46,Texas,27432.9,68093.3,2730,12
47,Utah,3679.5000000000005,12650.000000000002,336,12
48,Vermont,712.8000000000001,1677.5000000000002,60,12
49,Virgin Islands,39.6,4.4,0,12
50,Virginia,11125.400000000001,22869.000000000004,650,12
51,Washington,7434.900000000001,13527.800000000001,522,12
52,West Virginia,4543.0,12959.1,516,12
53,Wisconsin,5112.8,16479.100000000002,6,12
54,Wyoming,1425.6000000000001,3756.5000000000005,138,12
55,Alabama,7606.500000000001,19214.800000000003,818,11
56,Alaska,1441.0000000000002,2212.1000000000004,158,11
57,Arizona,6054.400000000001,7590.000000000001,530,11
58,Arkansas,3213.1000000000004,14549.7,494,11
59,California,16359.2,20071.7,4300,11
60,Colorado,7651.6,12794.1,1020,11
61,Connecticut,2369.4,3100.9,120,11
62,Delaware,585.2,1597.2,26,11
63,District of Columbia,3.3000000000000003,0.0,0,11
64,Florida,19806.600000000002,22787.600000000002,1418,11
65,Georgia,6430.6,17048.9,598,11
66,Guam,13.200000000000001,31.900000000000002,2,11
67,Hawaii,0.0,0.0,0,11
68,Idaho,1553.2,4599.1,196,11
69,Illinois,5442.8,12948.1,684,11
70,Indiana,6663.8,16134.800000000001,480,11
71,Iowa,22.0,7855.1,10,11
72,Kansas,3314.3,9047.5,404,11
73,Kentucky,6587.900000000001,16614.4,998,11
74,Louisiana,5803.6,16645.2,480,11
75,Maine,1223.2,4215.200000000001,154,11
76,Mariana Islands,0.0,2.2,0,11
77,Maryland,1582.9,7583.400000000001,12,11
78,Massachusetts,1871.1000000000001,2211.0,142,11
79,Michigan,2106.5,23197.9,118,11
80,Minnesota,3054.7000000000003,13959.000000000002,234,11
81,Mississippi,3906.1000000000004,19010.2,492,11
82,Missouri,4250.400000000001,18376.600000000002,402,11
83,Montana,1214.4,4237.200000000001,212,11
84,Nebraska,2.2,5010.5,0,11
85,Nevada,2340.8,3009.6000000000004,222,11
86,New Hampshire,1724.8000000000002,3091.0000000000005,32,11
87,New Jersey,1362.9,2799.5,78,11
88,New Mexico,2629.0,4313.1,320,11
89,New York,3264.8,18361.2,84,11
90,North Carolina,237.60000000000002,20817.5,236,11
91,North Dakota,508.20000000000005,3525.5000000000005,46,11
92,Ohio,10902.1,27071.000000000004,962,11
93,Oklahoma,4810.3,12103.300000000001,758,11
94,Oregon,5272.3,10021.0,530,11
95,Pennsylvania,0.0,61708.9,1032,11
96,Puerto Rico,687.5,125.4,38,11
97,Rhode Island,387.20000000000005,524.7,202,11
98,South Carolina,4274.6,9826.300000000001,308,11
99,South Dakota,719.4000000000001,5255.8,76,11
100,Tennessee,9443.5,18027.9,754,11
101,Texas,18357.9,43241.0,2398,11
102,Utah,2403.5,7354.6,224,11
103,Vermont,492.80000000000007,1852.4,42,11
104,Virgin Islands,26.400000000000002,1.1,6,11
105,Virginia,8716.400000000001,19312.7,564,11
106,Washington,6398.700000000001,9385.2,472,11
107,West Virginia,2864.4,11856.900000000001,406,11
108,Wisconsin,3934.7000000000003,19211.5,4,11
109,Wyoming,947.1,2477.2000000000003,126,11
110,Alabama,6791.400000000001,11785.400000000001,698,10
111,Alaska,1629.1000000000001,2689.5,176,10
112,Arizona,6261.200000000001,7108.200000000001,582,10
113,Arkansas,3060.2000000000003,10509.400000000001,418,10
114,California,16776.100000000002,17505.4,732,10
115,Colorado,7065.3,12447.6,894,10
116,Connecticut,2594.9,2780.8,108,10
117,Delaware,531.3000000000001,1185.8000000000002,48,10
118,District of Columbia,2.2,0.0,0,10
119,Florida,19767.0,17536.2,1478,10
120,Georgia,6587.900000000001,13680.7,558,10
121,Guam,11.0,19.8,0,10
122,Hawaii,0.0,0.0,0,10
123,Idaho,1639.0000000000002,5541.8,226,10
124,Illinois,5855.3,10705.2,556,10
125,Indiana,6017.000000000001,10960.400000000001,628,10
126,Iowa,26.400000000000002,6263.400000000001,6,10
127,Kansas,3526.6000000000004,7245.700000000001,494,10
128,Kentucky,6424.000000000001,13410.1,830,10
129,Louisiana,6413.000000000001,14373.7,570,10
130,Maine,1465.2,6485.6,198,10
131,Mariana Islands,0.0,4.4,0,10
132,Maryland,1237.5,5720.000000000001,12,10
133,Massachusetts,1862.3000000000002,1859.0000000000002,110,10
134,Michigan,2238.5,19549.2,150,10
