state,handgun,long_gun,multiple,year,month
Alabama,5734.0,6320.0,317,2017,9
Alaska,2320.0,2930.0,160,2017,9
Arizona,11063.0,7946.0,631,2017,9
Arkansas,4347.0,6063.0,366,2017,9
California,37165.0,24581.0,0,2017,9
Colorado,15751.0,13448.0,1062,2017,9
Connecticut,4834.0,1993.0,0,2017,9
Delaware,1414.0,1538.0,68,2017,9
District of Columbia,56.0,4.0,0,2017,9
Florida,39199.0,17949.0,1721,2017,9
Georgia,10933.0,7982.0,494,2017,9
Guam,74.0,47.0,3,2017,9
Hawaii,0.0,0.0,0,2017,9
Idaho,3058.0,5241.0,205,2017,9
Illinois,18290.0,10201.0,814,2017,9
Indiana,16093.0,11332.0,597,2017,9
Iowa,151.0,2640.0,1,2017,9
Kansas,4518.0,5025.0,297,2017,9
Kentucky,8112.0,7543.0,543,2017,9
Louisiana,10495.0,11573.0,776,2017,9
Maine,3026.0,4220.0,186,2017,9
Mariana Islands,12.0,3.0,1,2017,9
Maryland,3389.0,4897.0,34,2017,9
Massachusetts,4749.0,2808.0,158,2017,9
Michigan,8654.0,10676.0,163,2017,9
Minnesota,4862.0,12677.0,273,2017,9
Mississippi,6260.0,6035.0,405,2017,9
Missouri,16993.0,14395.0,991,2017,9
Montana,2395.0,4878.0,216,2017,9
Nebraska,110.0,1989.0,4,2017,9
Nevada,3992.0,2509.0,237,2017,9
New Hampshire,4410.0,3248.0,3,2017,9
New Jersey,3985.0,3040.0,0,2017,9
New Mexico,5309.0,4508.0,284,2017,9
New York,8392.0,16213.0,185,2017,9
North Carolina,1235.0,11340.0,233,2017,9
North Dakota,1359.0,2919.0,82,2017,9
Ohio,21085.0,14998.0,1026,2017,9
Oklahoma,8869.0,9020.0,807,2017,9
Oregon,11557.0,11773.0,7,2017,9
Pennsylvania,39825.0,13222.0,0,2017,9
Puerto Rico,619.0,123.0,22,2017,9
Rhode Island,907.0,619.0,163,2017,9
South Carolina,7574.0,6037.0,295,2017,9
South Dakota,2020.0,4155.0,141,2017,9
Tennessee,19219.0,13746.0,0,2017,9
Texas,39119.0,39416.0,2473,2017,9
Utah,2840.0,3960.0,0,2017,9
Vermont,1276.0,1591.0,80,2017,9
