,state,pop_2016,under_18,65_above,female_pct,white_pct,black_pct,asian_pct,median_hu,median_gross_rent,pe_hh,high_school_grad_higher,bsc_higher,pe_whi,median_hh_income,per_cap_inc,poverty_pct,firms
0,Alabama,4863300.0,22.6,16.1,51.6,69.3,26.8,1.4,125500.0,717.0,2.55,84.3,23.5,10.7,43623.0,24091.0,17.1,374153.0
1,Alaska,741894.0,25.2,10.4,47.7,66.1,3.8,6.3,250000.0,1146.0,2.81,92.1,28.0,15.5,72515.0,33413.0,9.9,68032.0
2,Arizona,6931071.0,23.5,16.9,50.3,83.3,4.9,3.4,167500.0,913.0,2.69,86.0,27.5,11.9,50255.0,25848.0,16.4,499926.0
3,Arkansas,2988248.0,23.6,16.3,50.9,79.4,15.7,1.6,111400.0,677.0,2.53,84.8,21.1,9.3,41371.0,22798.0,17.2,231959.0
4,California,39250017.0,23.2,13.6,50.3,72.7,6.5,14.8,385500.0,1255.0,2.96,81.8,31.4,8.3,61818.0,30318.0,14.3,3548449.0
5,Colorado,5540545.0,22.8,13.4,49.7,87.5,4.5,3.3,247800.0,1002.0,2.55,90.7,38.1,8.6,60629.0,32217.0,11.0,547352.0
6,Connecticut,3576452.0,21.1,16.1,51.2,80.6,11.8,4.7,270500.0,1075.0,2.57,89.9,37.6,5.7,70331.0,38803.0,9.8,326693.0
7,Delaware,952065.0,21.5,17.5,51.6,70.1,22.6,4.0,231500.0,1018.0,2.62,88.4,30.0,6.6,60509.0,30554.0,11.7,73418.0
8,Florida,20612439.0,20.1,19.9,51.1,77.6,16.8,2.9,159000.0,1002.0,2.63,86.9,27.3,15.3,47507.0,26829.0,14.7,2100187.0
9,Georgia,10310371.0,24.4,13.1,51.3,61.2,32.0,4.1,148100.0,879.0,2.73,85.4,28.8,14.8,49620.0,25737.0,16.0,929864.0
10,Hawaii,1428557.0,21.6,17.1,49.8,25.8,2.2,37.7,515300.0,1438.0,3.02,91.0,30.8,4.2,69515.0,29822.0,9.3,118454.0
11,Idaho,1683140.0,26.0,15.1,49.9,93.3,0.8,1.5,162900.0,743.0,2.69,89.5,25.9,11.8,47583.0,23399.0,14.4,146642.0
12,Illinois,12801539.0,22.9,14.6,50.9,77.2,14.7,5.5,173800.0,907.0,2.63,87.9,32.3,7.4,57574.0,30494.0,13.0,1135017.0
13,Indiana,6633053.0,23.8,14.9,50.7,85.6,9.7,2.2,124200.0,745.0,2.55,87.8,24.1,9.4,49255.0,25346.0,14.1,479059.0
14,Iowa,3134693.0,23.3,16.4,50.3,91.4,3.7,2.5,129200.0,697.0,2.42,91.5,26.7,5.0,53183.0,27950.0,11.8,259121.0
15,Kansas,2907289.0,24.6,15.0,50.2,86.6,6.2,3.0,132000.0,757.0,2.53,90.2,31.0,10.1,52205.0,27706.0,12.1,239118.0
16,Kentucky,4436974.0,22.8,15.6,50.7,88.0,8.3,1.5,123200.0,675.0,2.5,84.2,22.3,6.0,43740.0,24063.0,18.5,331546.0
17,Louisiana,4681666.0,23.8,14.4,51.1,63.2,32.6,1.8,144100.0,788.0,2.6,83.4,22.5,11.9,45047.0,24981.0,20.2,414291.0
18,Maine,1331479.0,19.1,19.4,51.0,94.8,1.5,1.2,173800.0,777.0,2.34,91.6,29.0,9.9,49331.0,27655.0,12.5,139570.0
19,Maryland,6016447.0,22.4,14.6,51.6,59.3,30.7,6.6,286900.0,1230.0,2.67,89.4,37.9,7.0,74551.0,36897.0,9.7,531953.0
20,Massachusetts,6811779.0,20.2,15.8,51.5,81.8,8.6,6.7,333100.0,1102.0,2.53,89.8,40.5,2.9,68563.0,36895.0,10.4,607664.0
21,Michigan,9928300.0,22.1,16.2,50.8,79.6,14.2,3.1,122400.0,783.0,2.52,89.6,26.9,6.3,49576.0,26607.0,15.0,834087.0
22,Minnesota,5519952.0,23.3,15.1,50.2,85.0,6.2,4.9,186200.0,848.0,2.49,92.4,33.7,4.8,61492.0,32157.0,9.9,489494.0
23,Mississippi,2988726.0,24.1,15.1,51.5,59.3,37.7,1.1,103100.0,717.0,2.64,82.3,20.7,13.9,39665.0,21057.0,20.8,235454.0
24,Missouri,6093000.0,22.8,16.1,50.9,83.2,11.8,2.0,138400.0,746.0,2.48,88.4,27.1,10.5,48173.0,26259.0,14.0,491606.0
25,Montana,1042520.0,21.8,17.7,49.7,89.2,0.6,0.8,193500.0,711.0,2.41,92.8,29.5,9.8,47169.0,26381.0,13.3,112419.0
26,Nebraska,1907116.0,24.8,15.0,50.2,88.9,5.0,2.5,133200.0,726.0,2.47,90.7,29.3,9.9,52997.0,27882.0,11.4,164089.0
27,Nevada,2940058.0,23.0,15.0,49.9,75.1,9.6,8.7,173700.0,973.0,2.72,85.1,23.0,13.1,51847.0,26541.0,13.8,227156.0
28,New Hampshire,1334795.0,19.5,17.0,50.5,93.8,1.5,2.7,237300.0,1000.0,2.47,92.3,34.9,7.1,66779.0,34362.0,7.3,131638.0
29,New Jersey,8944469.0,22.2,15.3,51.2,72.4,15.0,9.8,315900.0,1192.0,2.73,88.6,36.8,9.2,72093.0,36582.0,10.4,792088.0
30,New Mexico,2081015.0,0.236,0.165,0.505,0.826,0.025,0.017,160300.0,777.0,2.67,0.842,0.263,0.108,44963.0,24012.0,0.198,151363.0
31,New York,19745289.0,0.212,0.154,0.514,0.699,0.177,0.089,283400.0,1132.0,2.63,0.856,0.342,0.07,59269.0,33236.0,0.147,2008988.0
32,North Carolina,10146788.0,0.227,0.155,0.514,0.71,0.222,0.029,154900.0,797.0,2.54,0.858,0.284,0.122,46868.0,25920.0,0.154,805985.0
33,North Dakota,757952.0,0.233,0.145,0.487,0.879,0.029,0.015,153800.0,709.0,2.32,0.917,0.277,0.081,57181.0,32035.0,0.107,68270.0
34,Ohio,11614373.0,0.225,0.162,0.51,0.825,0.128,0.022,129900.0,730.0,2.46,0.891,0.261,0.066,49429.0,26953.0,0.146,904814.0
35,Oklahoma,3923561.0,0.245,0.15,0.505,0.746,0.078,0.022,117900.0,727.0,2.57,0.869,0.241,0.161,46879.0,25032.0,0.163,327229.0
36,Oregon,4093465.0,0.212,0.168,0.505,0.874,0.021,0.045,237300.0,907.0,2.51,0.898,0.308,0.073,51243.0,27684.0,0.133,339305.0
37,Pennsylvania,12784227.0,0.209,0.174,0.51,0.824,0.118,0.035,166000.0,840.0,2.49,0.892,0.286,0.067,53599.0,29291.0,0.129,975453.0
38,Rhode Island,1056426.0,0.197,0.165,0.514,0.844,0.081,0.036,238000.0,925.0,2.46,0.862,0.319,0.051,56852.0,31118.0,0.128,94642.0
39,South Carolina,4961119.0,0.221,0.167,0.515,0.685,0.275,0.016,139900.0,790.0,2.56,0.856,0.258,0.119,45483.0,24604.0,0.153,367726.0
40,South Dakota,865454.0,0.246,0.16,0.496,0.852,0.02,0.015,140500.0,655.0,2.45,0.909,0.27,0.103,50957.0,26747.0,0.133,81314.0
41,Tennessee,6651194.0,0.226,0.157,0.512,0.787,0.171,0.018,142100.0,764.0,2.53,0.855,0.249,0.106,45219.0,25227.0,0.158,550453.0
42,Texas,27862596.0,26.2,12.0,50.4,79.4,12.6,4.8,136000.0,882.0,2.84,81.9,27.6,18.6,53207.0,26999.0,15.6,2356748.0
43,Utah,3051217.0,30.2,10.5,49.7,91.1,1.4,2.5,215900.0,887.0,3.15,91.2,31.1,9.7,60727.0,24686.0,10.2,251419.0
44,Vermont,624594.0,19.0,18.1,50.6,94.6,1.3,1.8,217500.0,895.0,2.34,91.8,36.0,4.5,55176.0,29894.0,11.9,75827.0
45,Virginia,8411808.0,22.2,14.6,50.8,70.0,19.8,6.6,245000.0,1116.0,2.62,88.3,36.3,10.1,65015.0,34152.0,11.0,653193.0
46,Washington,7288000.0,22.4,14.8,50.0,80.0,4.1,8.6,259500.0,1014.0,2.56,90.4,32.9,6.9,61062.0,31762.0,11.3,541522.0
47,West Virginia,1831102.0,20.5,18.8,50.5,93.6,3.6,0.8,103800.0,643.0,2.43,85.0,19.2,6.5,41751.0,23450.0,17.9,114435.0
48,Wisconsin,5778708.0,22.3,16.1,50.3,87.5,6.6,2.8,165800.0,776.0,2.43,91.0,27.8,6.2,53357.0,28340.0,11.8,432980.0
49,Wyoming,585501.0,23.7,15.0,48.9,92.8,1.3,1.0,194800.0,789.0,2.49,92.3,25.7,13.4,58840.0,29803.0,11.3,62427.0
