state,handgun,long_gun,multiple,total,pop_2016,female_pct,white_pct,black_pct,asian_pct,pe_hh,pe_whi,adults_below_65,high_school_grad_higher,bsc_higher,median_hu,median_gross_rent,poverty_pct,median_hh_income,per_cap_inc,firms
Alabama,168435.30000000002,134159.30000000002,13090,315684.60000000003,4863300.0,51.6,69.3,26.8,1.4,2.55,10.7,61.3,84.3,23.5,125500.0,717.0,17.1,43623.0,24091.0,374153.0
Alaska,41240.100000000006,40575.700000000004,4632,86447.8,741894.0,47.7,66.1,3.8,6.3,2.81,15.5,64.4,92.1,28.0,250000.0,1146.0,9.9,72515.0,33413.0,68032.0
Arizona,183462.4,119886.8,15816,319165.2,6931071.0,50.3,83.3,4.9,3.4,2.69,11.9,59.6,86.0,27.5,167500.0,913.0,16.4,50255.0,25848.0,499926.0
Arkansas,88268.40000000001,90332.0,8800,187400.40000000002,2988248.0,50.9,79.4,15.7,1.6,2.53,9.3,60.1,84.8,21.1,111400.0,677.0,17.2,41371.0,22798.0,231959.0
California,616390.5,610005.0,0,1226395.5,39250017.0,50.3,72.7,6.5,14.8,2.96,8.3,63.2,81.8,31.4,385500.0,1255.0,14.3,61818.0,30318.0,3548449.0
Colorado,266752.2,198028.6,28586,493366.80000000005,5540545.0,49.7,87.5,4.5,3.3,2.55,8.6,63.8,90.7,38.1,247800.0,1002.0,11.0,60629.0,32217.0,547352.0
Connecticut,134612.5,48194.3,0,182806.80000000002,3576452.0,51.2,80.6,11.8,4.7,2.57,5.7,62.8,89.9,37.6,270500.0,1075.0,9.8,70331.0,38803.0,326693.0
Delaware,28131.4,23920.600000000002,2068,54120.0,952065.0,51.6,70.1,22.6,4.0,2.62,6.6,61.0,88.4,30.0,231500.0,1018.0,11.7,60509.0,30554.0,73418.0
Florida,728538.8,347855.2,50284,1126678.0,20612439.0,51.1,77.6,16.8,2.9,2.63,15.3,60.0,86.9,27.3,159000.0,1002.0,14.7,47507.0,26829.0,2100187.0
Georgia,214280.0,141104.7,14956,370340.7,10310371.0,51.3,61.2,32.0,4.1,2.73,14.8,62.5,85.4,28.8,148100.0,879.0,16.0,49620.0,25737.0,929864.0
Hawaii,0.0,0.0,0,0.0,1428557.0,49.8,25.8,2.2,37.7,3.02,4.2,61.3,91.0,30.8,515300.0,1438.0,9.3,69515.0,29822.0,118454.0
